-0.66681,0,0,0
-0.66676,-0.26379,-0.31704,1.301
-0.66676,-0.29273,-0.27057,1.3317
-0.66676,-0.35632,-0.19139,1.339
-0.66676,-0.37455,-0.12209,1.3737
-0.66676,-0.36325,-0.059986,1.4416
-0.66676,-0.33574,-0.053154,1.4813
-0.66676,-0.27751,-0.092313,1.4904
-0.66676,-0.26164,-0.10702,1.4898
-0.66675,-0.27079,-0.10669,1.4834
-0.66675,-0.3042,-0.10919,1.4457
-0.66675,-0.32861,-0.14096,1.3824
-0.66675,-0.29418,-0.22242,1.3121
-0.66675,-0.23787,-0.2757,1.2601
-0.66675,-0.17508,-0.34003,1.2452
-0.66675,-0.10593,-0.40562,1.3295
-0.66675,-0.092074,-0.41038,1.3739
-0.66675,-0.10301,-0.39657,1.3714
-0.66675,-0.11518,-0.39216,1.3674
-0.66675,-0.10731,-0.40885,1.3267
-0.66675,-0.17485,-0.36917,1.3499
-0.66674,-0.26773,-0.31548,1.3344
-0.66674,-0.28475,-0.30316,1.3346
-0.66674,-0.32904,-0.20718,1.3766
-0.66674,-0.35314,-0.10162,1.4146
-0.66674,-0.33766,-0.067545,1.4503
-0.66674,-0.31348,-0.056265,1.4798
-0.66674,-0.26423,-0.090663,1.4862
-0.66674,-0.25627,-0.099538,1.4861
-0.66674,-0.28354,-0.10983,1.4529
-0.66674,-0.31647,-0.13498,1.3848
-0.66674,-0.29872,-0.19185,1.33
-0.66674,-0.23525,-0.25666,1.2853
-0.66673,-0.14737,-0.33867,1.3476
-0.66673,-0.092826,-0.4211,1.3849
-0.66673,-0.094674,-0.41724,1.3848
-0.66673,-0.10892,-0.3981,1.3741
-0.66673,-0.11564,-0.39197,1.3713
-0.66673,-0.12127,-0.39407,1.3337
-0.66673,-0.18298,-0.3093,1.3612
-0.66673,-0.22217,-0.25753,1.3558
-0.66673,-0.27361,-0.19681,1.3349
-0.66673,-0.31038,-0.11014,1.3774
-0.66673,-0.30748,-0.0771,1.4274
-0.66672,-0.25057,-0.095197,1.489
-0.66672,-0.23533,-0.10393,1.4976
-0.66672,-0.25081,-0.091136,1.4891
-0.66672,-0.25881,-0.11694,1.3854
-0.66672,-0.23625,-0.1775,1.3215
-0.66672,-0.19036,-0.2663,1.3156
-0.66672,-0.16052,-0.31587,1.3266
-0.66672,-0.13212,-0.39452,1.3711
-0.66672,-0.11523,-0.42135,1.3816
-0.66672,-0.11236,-0.41648,1.3789
-0.66672,-0.13121,-0.3919,1.3711
-0.66672,-0.19664,-0.32611,1.3686
-0.66671,-0.21929,-0.28413,1.3646
-0.66671,-0.27525,-0.22377,1.3453
-0.66671,-0.33983,-0.1323,1.3466
-0.66671,-0.3532,-0.081309,1.3965
-0.66671,-0.34204,-0.068546,1.4614
-0.66671,-0.29676,-0.092638,1.518
-0.66671,-0.26952,-0.11603,1.5271
-0.66671,-0.26787,-0.11925,1.519
-0.66671,-0.29929,-0.087378,1.4737
-0.66671,-0.29839,-0.074847,1.4004
-0.66671,-0.2655,-0.095231,1.3188
-0.66671,-0.20906,-0.15507,1.2661
-0.6667,-0.14393,-0.25644,1.2784
-0.6667,-0.096212,-0.3882,1.344
-0.6667,-0.094396,-0.3999,1.3589
-0.6667,-0.11217,-0.36673,1.3662
-0.6667,-0.11876,-0.37156,1.3348
-0.6667,-0.15585,-0.31164,1.3115
-0.6667,-0.18985,-0.25121,1.3104
-0.6667,-0.29311,-0.053129,1.3241
-0.6667,-0.30823,-0.035443,1.3874
-0.6667,-0.31293,-0.040488,1.4509
-0.6667,-0.28245,-0.080773,1.4684
-0.6667,-0.25722,-0.11621,1.487
-0.66669,-0.25131,-0.1244,1.4844
-0.66669,-0.27892,-0.087187,1.4356
-0.66669,-0.26528,-0.070893,1.3285
-0.66669,-0.23452,-0.10006,1.2669
-0.66669,-0.21708,-0.13052,1.2416
-0.66669,-0.16368,-0.25075,1.2528
-0.66669,-0.14147,-0.36671,1.2823
-0.66669,-0.11582,-0.41607,1.3731
-0.66669,-0.12009,-0.40516,1.3809
-0.66669,-0.15402,-0.35687,1.3273
-0.66669,-0.20562,-0.32035,1.3232
-0.66668,-0.22306,-0.29504,1.326
-0.66668,-0.27971,-0.14033,1.3032
-0.66668,-0.31753,-0.059322,1.3143
-0.66668,-0.33098,-0.034823,1.3323
-0.66668,-0.33946,-0.022453,1.3612
-0.66668,-0.30068,-0.087394,1.4841
-0.66668,-0.27429,-0.12249,1.499
-0.66668,-0.28039,-0.12381,1.4793
-0.66668,-0.30186,-0.098379,1.4238
-0.66668,-0.30047,-0.081917,1.3552
-0.66668,-0.25641,-0.11983,1.252
-0.66668,-0.18722,-0.27899,1.3186
-0.66667,-0.13729,-0.40221,1.3729
-0.66667,-0.11764,-0.40945,1.3825
-0.66667,-0.11089,-0.40306,1.3837
-0.66667,-0.16321,-0.33606,1.3733
-0.66667,-0.19128,-0.29328,1.3617
-0.66667,-0.21788,-0.23444,1.3219
